paises;quantidade_kg;valor;categorias;ano
Reino Unido;18.580.726;38.772.121;Uvas frescas;2008
Republica Dominicana;-;-;Uvas frescas;2008
Romênia;-;-;Uvas frescas;2008
Russia,  Federação da;873.977;1.853.317;Uvas frescas;2008
Samoa Americana;-;-;Uvas frescas;2008
São Tomé e Principe;-;-;Uvas frescas;2008
São Vicente e Granadinas;-;-;Uvas frescas;2008
Serra Leoa;-;-;Uvas frescas;2008
Senegal;-;-;Uvas frescas;2008
Singapura;-;-;Uvas frescas;2008
Sri Lanka;-;-;Uvas frescas;2008
Suécia;246.711;546.159;Uvas frescas;2008
Suíça;-;-;Uvas frescas;2008
Suriname;-;-;Uvas frescas;2008
Tailândia;-;-;Uvas frescas;2008
Taiwan;-;-;Uvas frescas;2008
Togo;-;-;Uvas frescas;2008
Trindade e Tobago;-;-;Uvas frescas;2008
Turcas e Caicos, ilhas;-;-;Uvas frescas;2008
Turquia;-;-;Uvas frescas;2008
Tuvalu;-;-;Uvas frescas;2008
Uruguai;40.428;60.347;Uvas frescas;2008
Vanuatu;-;-;Uvas frescas;2008
Venezuela;-;-;Uvas frescas;2008
Vietnã;-;-;Uvas frescas;2008
Provisão de Navios e Aeronaves;-;-;Uvas frescas;2008
Total;82.242.151;171.456.124;Uvas frescas;2008
África do Sul;-;-;Suco de uva;2008
Alemanha, República Democrática da;-;-;Suco de uva;2008
Angola;63.263;61.246;Suco de uva;2008
Antígua e Barbuda;-;-;Suco de uva;2008
Antilhas Holandesas;474;720;Suco de uva;2008
Arábia Saudita;48.760;123.802;Suco de uva;2008
Argélia;-;-;Suco de uva;2008
Argentina;1.815;8.797;Suco de uva;2008
Aruba;-;-;Suco de uva;2008
Austrália;-;-;Suco de uva;2008
Áustria;-;-;Suco de uva;2008
Bahamas;-;-;Suco de uva;2008
Bangladesh;-;-;Suco de uva;2008
Barbados;1.703;1.983;Suco de uva;2008
Barein;-;-;Suco de uva;2008
Bélgica;-;-;Suco de uva;2008
Belize;-;-;Suco de uva;2008
Benin;-;-;Suco de uva;2008
Bermudas;-;-;Suco de uva;2008
Birmânia;-;-;Suco de uva;2008
Bolívia;2.060;2.562;Suco de uva;2008
Cabo Verde;480;312;Suco de uva;2008
Camarões;-;-;Suco de uva;2008
Canadá;-;-;Suco de uva;2008
Catar;-;-;Suco de uva;2008
Cayman, Ilhas;-;-;Suco de uva;2008
Chile;-;-;Suco de uva;2008
China;-;-;Suco de uva;2008
Chipre;-;-;Suco de uva;2008
Cingapura;-;-;Suco de uva;2008
Colômbia;-;-;Suco de uva;2008
Congo;-;-;Suco de uva;2008
Coreia do Sul;87.450;245.834;Suco de uva;2008
Costa do Marfim;-;-;Suco de uva;2008
Costa Rica;-;-;Suco de uva;2008
Coveite;-;-;Suco de uva;2008
Cuba;-;-;Suco de uva;2008
Curaçao;-;-;Suco de uva;2008
Dinamarca;-;-;Suco de uva;2008
Dominica, Ilha de;348;324;Suco de uva;2008
El Salvador;-;-;Suco de uva;2008
Emirados Árabes Unidos;-;-;Suco de uva;2008
Equador;-;-;Suco de uva;2008
Espanha;-;-;Suco de uva;2008
Estados Unidos;220.264;498.161;Suco de uva;2008
Falkland (Malvinas);-;-;Suco de uva;2008
Filipinas;-;-;Suco de uva;2008
Finlândia;-;-;Suco de uva;2008
França;-;-;Suco de uva;2008
Gana;-;-;Suco de uva;2008
Gibraltar;-;-;Suco de uva;2008
Granada;-;-;Suco de uva;2008
Grêcia;-;-;Suco de uva;2008
Guatemala;-;-;Suco de uva;2008
Guiana;-;-;Suco de uva;2008
Guiana Francesa;-;-;Suco de uva;2008
Guiné Bissau;-;-;Suco de uva;2008
Guine Equatorial;280;1.164;Suco de uva;2008
Haiti;-;-;Suco de uva;2008
Hong Kong;-;-;Suco de uva;2008
Hungria;-;-;Suco de uva;2008
Ilha de Man;-;-;Suco de uva;2008
India;-;-;Suco de uva;2008
Indonêsia;-;-;Suco de uva;2008
Irã;-;-;Suco de uva;2008
Iraque;-;-;Suco de uva;2008
