pais_origem;pais_destino;quantidade_litro;valor;categorias;ano_exportado
Brasil;Hong Kong;1175.0;5328.0;Espumantes;2009
Brasil;Ilha de Man;2.0;20.0;Espumantes;2009
Brasil;Irlanda;6.0;22.0;Espumantes;2009
Brasil;Italia;503.0;3702.0;Espumantes;2009
Brasil;Japão;2970.0;12049.0;Espumantes;2009
Brasil;Líbano;1350.0;4810.0;Espumantes;2009
Brasil;Libéria;1105.0;3367.0;Espumantes;2009
Brasil;Maldivas;3221.0;10680.0;Espumantes;2009
Brasil;Malta;191.0;822.0;Espumantes;2009
Brasil;Marshall, Ilhas;1154.0;3438.0;Espumantes;2009
Brasil;Nigéria;6705.0;32586.0;Espumantes;2009
Brasil;Noruega;483.0;9852.0;Espumantes;2009
Brasil;Paises Baixos (Holanda);707.0;6038.0;Espumantes;2009
Brasil;Panama;3092.0;32540.0;Espumantes;2009
Brasil;Paraguai;48160.0;183187.0;Espumantes;2009
Brasil;Portugal;56.0;612.0;Espumantes;2009
Brasil;Reino Unido;9305.0;53968.0;Espumantes;2009
Brasil;Russia;990.0;5280.0;Espumantes;2009
Brasil;Serra Leoa;225.0;1165.0;Espumantes;2009
Brasil;Singapura;642.0;5235.0;Espumantes;2009
Brasil;Tailandia;17.0;107.0;Espumantes;2009
Brasil;Taiwan (Formosa);901.0;4141.0;Espumantes;2009
Brasil;Turquia;2.0;17.0;Espumantes;2009
Brasil;Uruguai;10200.0;87895.0;Espumantes;2009
Brasil;Vietnã;16.0;19.0;Espumantes;2009
Brasil;Alemanha, República Democrática;559012.0;1213303.0;Uvas frescas;2009
Brasil;Antígua e Barbuda;253.0;999.0;Uvas frescas;2009
Brasil;Arabia Saudita;12224.0;53675.0;Uvas frescas;2009
Brasil;Argentina;3954281.0;8103640.0;Uvas frescas;2009
Brasil;Bahamas;3035.0;10694.0;Uvas frescas;2009
Brasil;Bangladesh;113.0;319.0;Uvas frescas;2009
Brasil;Barbados;163.0;540.0;Uvas frescas;2009
Brasil;Barein;316.0;1159.0;Uvas frescas;2009
Brasil;Bélgica;39134.0;95538.0;Uvas frescas;2009
Brasil;Belize;117.0;248.0;Uvas frescas;2009
Brasil;Bermudas;200.0;761.0;Uvas frescas;2009
Brasil;Bolívia;132736.0;67397.0;Uvas frescas;2009
Brasil;Brasil;109.0;267.0;Uvas frescas;2009
Brasil;Camarões;50.0;149.0;Uvas frescas;2009
Brasil;Canadá;383543.0;1497880.0;Uvas frescas;2009
Brasil;Catar;28.0;75.0;Uvas frescas;2009
Brasil;Cayman, Ilhas;277.0;1145.0;Uvas frescas;2009
Brasil;Chile;31.0;125.0;Uvas frescas;2009
Brasil;China;945.0;2708.0;Uvas frescas;2009
Brasil;Chipre;1867.0;4345.0;Uvas frescas;2009
Brasil;Cocos (Keeling), Ilhas;32.0;55.0;Uvas frescas;2009
Brasil;Colombia;13.0;32.0;Uvas frescas;2009
Brasil;Coreia do Sul;142.0;381.0;Uvas frescas;2009
Brasil;Coveite;7252.0;33694.0;Uvas frescas;2009
Brasil;Croácia;20.0;28.0;Uvas frescas;2009
Brasil;Dinamarca;26792.0;50928.0;Uvas frescas;2009
Brasil;Emirados Arabes Unidos;116384.0;401362.0;Uvas frescas;2009
Brasil;Espanha;3504580.0;6022297.0;Uvas frescas;2009
Brasil;Estados Unidos;9634362.0;26805893.0;Uvas frescas;2009
Brasil;Falkland (Ilhas Malvinas);60.0;61.0;Uvas frescas;2009
Brasil;Filipinas;137.0;455.0;Uvas frescas;2009
Brasil;França;200.0;892.0;Uvas frescas;2009
Brasil;Gabão;20.0;53.0;Uvas frescas;2009
Brasil;Gibraltar;125.0;480.0;Uvas frescas;2009
Brasil;Grêcia;2536.0;6949.0;Uvas frescas;2009
Brasil;Guiana;3902.0;12934.0;Uvas frescas;2009
Brasil;Hong Kong;11130.0;81767.0;Uvas frescas;2009
Brasil;Ilha de Man;124.0;459.0;Uvas frescas;2009
